lastName,email,email
Beeckx,abeeckx0@un.org,abeeckx0@un.org
Murname,smurname1@ftc.gov,smurname1@ftc.gov
Spriddle,jspriddle2@chicagotribune.com,jspriddle2@chicagotribune.com
Peak,bpeak3@fc2.com,bpeak3@fc2.com
Bernardeschi,cbernardeschi4@technorati.com,cbernardeschi4@technorati.com
Lipson,alipson5@ucoz.ru,alipson5@ucoz.ru
Damato,tdamato6@skyrock.com,tdamato6@skyrock.com
Headon,dheadon7@ted.com,dheadon7@ted.com
Janeway,njaneway8@360.cn,njaneway8@360.cn
Trobey,ltrobey9@eventbrite.com,ltrobey9@eventbrite.com
